split,reference,candidate,comparison,n_scenarios,delta_Z,Z_ci_lo,Z_ci_hi,delta_Q,Q_ci_lo,Q_ci_hi,delta_CVaR,CVaR_ci_lo,CVaR_ci_hi,delta_J,J_ci_lo,J_ci_hi,p_signflip_Z,p_wilcoxon_Z,fraction_candidate_lower_Z,step_action_agreement,trajectory_action_agreement,n_paired_steps,n_paired_trajectories,spec,type
test,A1,B5,A1_minus_B5,100,5.770028012475688e-08,-2.1558115510170445e-07,3.4832243829722713e-07,1.1640862064568674e-08,-6.0085352043273194e-09,3.397666827608739e-08,3.5939614286884837e-07,-2.382559452137516e-06,3.225285107061521e-06,3.330678183086251e-07,-1.995120860779026e-06,2.792249417210286e-06,0.5633543664563354,0.3374113464376355,0.53,0.568,0.139,6000,1000,A1,ablation
test,A2,B5,A2_minus_B5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6000,1000,A2,ablation
test,A3,B5,A3_minus_B5,100,1.2618785130312156e-10,-1.1107434256166074e-10,4.479222756892408e-10,-2.775458332696665e-10,-7.113412301979475e-10,2.3671918479808873e-11,-1.607161140282365e-10,-4.999059608108702e-10,6.779018520575858e-10,-1.3312215088948087e-10,-4.0836032560000515e-10,5.022898919926702e-10,0.4846151538484615,0.04712941291725194,0.08,0.9885,0.964,6000,1000,A3,ablation
test,A4,B5,A4_minus_B5,100,1.2660583631698258e-07,-5.026129364468769e-08,3.69390917199236e-07,2.5798013859864104e-09,-1.937958810074547e-08,2.804349091119101e-08,1.147654138132937e-06,-5.574513905782564e-07,3.4205053375406767e-06,9.886363406094896e-07,-4.240367932518735e-07,2.9299277241810765e-06,0.2744572554274457,0.04180176387558987,0.58,0.7853333333333333,0.51,6000,1000,A4,ablation
test,A5,B5,A5_minus_B5,100,5.28843854205954e-08,-5.248723295232786e-08,1.9152073646530189e-07,3.0982546117028317e-09,-1.6720111625519954e-08,2.5089242184814256e-08,5.174714825108111e-07,-5.307003856890903e-07,1.8091688078131387e-06,4.425371246097841e-07,-4.6783356507665457e-07,1.5586622832744087e-06,0.4908950910490895,0.13207069537634405,0.52,0.7846666666666666,0.451,6000,1000,A5,ablation
test,B5_PPO,B5,B5_PPO_minus_B5,100,1.7348886828988863e-07,-1.0079204190036366e-07,4.690155197976867e-07,6.3319497449915725e-09,-1.6711730952369724e-08,3.129617859182865e-08,1.280858002161711e-06,-1.4338367877928284e-06,4.183856463882114e-06,1.137298344783353e-06,-1.1712463016486574e-06,3.6488047284779272e-06,0.2830871691283087,9.253508950932787e-05,0.65,0.4698333333333333,0.08,6000,1000,B5_PPO,optimizer
