edge_id,geometry_wkt
2374,"LINESTRING (704289.562357 7057860.284685, 704261.295952 7057862.948489)"
2404,"LINESTRING (703873.398235 7057896.261922, 703837.390577 7057899.446225)"
2434,"LINESTRING (702968.658556 7058969.317181, 702970.288396 7058969.95319)"
2463,"LINESTRING (702479.367984 7058209.205806, 702480.896251 7058215.724998)"
2493,"LINESTRING (704391.791278 7062054.173492, 704393.484179 7062108.454005)"
2523,"LINESTRING (704367.268693 7062478.504669, 704373.315078 7062509.187163)"
2552,"LINESTRING (708770.710403 7062274.994162, 708762.382165 7062278.223831)"
2582,"LINESTRING (707750.271827 7062210.694269, 707744.629004 7062203.532415)"
2612,"LINESTRING (705225.784949 7062053.174404, 705226.004889 7062067.972956)"
2641,"LINESTRING (705382.782593 7061921.91008, 705372.775051 7061919.68294)"
2671,"LINESTRING (705205.796072 7061883.911031, 705198.491532 7061884.873705)"
2701,"LINESTRING (705574.963526 7061865.757746, 705589.648494 7061851.876701)"
2731,"LINESTRING (705769.436715 7061672.028257, 705764.633881 7061664.835892)"
2760,"LINESTRING (705991.368958 7065107.478182, 705993.923518 7065108.695594)"
2790,"LINESTRING (706478.8067 7067388.209617, 706479.630517 7067391.832415)"
2820,"LINESTRING (706414.898804 7067500.858848, 706411.49896 7067497.233099)"
2849,"LINESTRING (710281.548949 7061280.419866, 710288.482917 7061281.546937)"
2879,"LINESTRING (713352.833467 7062029.808913, 713371.794644 7061986.361713)"
2909,"LINESTRING (713081.586676 7062607.265023, 713075.663797 7062619.965837)"
2938,"LINESTRING (713240.628172 7063670.797714, 713242.541102 7063664.461538)"
2968,"LINESTRING (704987.52879 7059635.594803, 704986.475223 7059648.831718)"
2998,"LINESTRING (705018.399706 7059824.763478, 705019.86718 7059832.063461)"
3027,"LINESTRING (705111.614715 7061309.143759, 705117.325025 7061340.138285)"
3057,"LINESTRING (705122.246303 7061513.208432, 705120.934069 7061514.956722)"
3087,"LINESTRING (708769.949837 7064661.038831, 708761.935934 7064651.197499)"
3116,"LINESTRING (708133.759202 7063534.914688, 708137.488994 7063546.297688)"
3146,"LINESTRING (709254.293041 7065114.93611, 709254.251931 7065109.832183)"
3176,"LINESTRING (710541.459763 7064247.000613, 710545.935631 7064250.419017)"
3206,"LINESTRING (710686.334769 7064363.749379, 710692.908747 7064369.645816)"
3235,"LINESTRING (710897.377571 7064540.193808, 710906.122426 7064547.353982)"
3265,"LINESTRING (711271.21599 7060987.52144, 711269.527393 7060985.155682)"
3295,"LINESTRING (709377.077198 7062072.110082, 709373.287753 7062067.646393)"
3324,"LINESTRING (709209.221942 7062010.152822, 709204.001812 7062014.033254)"
3354,"LINESTRING (712625.480825 7067933.392344, 712630.131083 7067936.05518)"
3384,"LINESTRING (712430.322132 7068323.9177, 712425.046542 7068351.18719)"
3413,"LINESTRING (704858.234698 7058558.93262, 704848.082954 7058568.696067)"
3443,"LINESTRING (704360.848544 7057808.437034, 704364.439134 7057804.005037)"
3473,"LINESTRING (704362.992773 7056485.042479, 704337.68177 7056517.235814)"
3502,"LINESTRING (704505.959875 7056642.566103, 704511.836606 7056644.353641)"
3532,"LINESTRING (704313.989489 7061172.491224, 704338.696782 7061178.906528)"
3562,"LINESTRING (703019.041535 7062088.354474, 703040.626619 7062073.824116)"
3591,"LINESTRING (703412.3717 7062013.084545, 703421.761006 7062019.475405)"
3621,"LINESTRING (707110.825101 7056320.54211, 707132.080745 7056284.278061)"
3651,"LINESTRING (705884.429891 7059832.259538, 705926.928994 7059818.38678)"
3680,"LINESTRING (705424.002723 7057975.771568, 705422.205357 7057979.747781)"
3710,"LINESTRING (706267.021783 7053530.687193, 706268.457077 7053535.078778)"
3740,"LINESTRING (706193.848574 7053748.199811, 706186.532688 7053749.662486)"
3770,"LINESTRING (707906.249373 7054148.608607, 707909.336055 7054148.000145)"
3799,"LINESTRING (707982.338617 7054217.831462, 707978.369644 7054220.332799)"
3829,"LINESTRING (708513.293199 7054441.212196, 708510.094861 7054445.341099)"
3859,"LINESTRING (708448.909445 7054551.60103, 708447.045987 7054554.918605)"
3888,"LINESTRING (708417.361397 7054592.010995, 708414.357094 7054594.569197)"
3918,"LINESTRING (706248.487543 7053946.868901, 706252.202693 7053948.800636)"
3948,"LINESTRING (704272.769407 7049627.200328, 704279.597913 7049628.865622)"
3977,"LINESTRING (704034.469377 7049720.556798, 704031.152674 7049722.314773)"
