zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
133,41.0,False,False,"POLYGON ((687722.331091 7053178.77058, 687703.332682 7053378.039623, 687902.890803 7053397.198185, 687921.888744 7053197.928927, 687722.331091 7053178.77058))"
134,13.0,False,False,"POLYGON ((687836.311933 7051983.164543, 687817.31627 7052182.431239, 688016.871586 7052201.588511, 688035.866782 7052002.321601, 687836.311933 7051983.164543))"
135,4.0,False,False,"POLYGON ((687636.757057 7051964.006942, 687617.760927 7052163.273423, 687817.31627 7052182.431239, 687836.311933 7051983.164543, 687636.757057 7051964.006942))"
136,5.0,False,False,"POLYGON ((687655.752729 7051764.740851, 687636.757057 7051964.006942, 687836.311933 7051983.164543, 687855.307138 7051783.898238, 687655.752729 7051764.740851))"
137,65.0,False,False,"POLYGON ((687855.307138 7051783.898238, 687836.311933 7051983.164543, 688035.866782 7052002.321601, 688054.86152 7051803.055081, 687855.307138 7051783.898238))"
138,114.0,True,False,"POLYGON ((688054.86152 7051803.055081, 688035.866782 7052002.321601, 688235.421602 7052021.478114, 688254.415874 7051822.21138, 688054.86152 7051803.055081))"
139,98.0,True,False,"POLYGON ((688073.855801 7051603.788951, 688054.86152 7051803.055081, 688254.415874 7051822.21138, 688273.409688 7051622.945035, 688073.855801 7051603.788951))"
140,88.0,False,False,"POLYGON ((688092.849625 7051404.523211, 688073.855801 7051603.788951, 688273.409688 7051622.945035, 688292.403046 7051423.67908, 688092.849625 7051404.523211))"
141,111.5,False,False,"POLYGON ((687893.296177 7051385.366797, 687874.301886 7051584.632323, 688073.855801 7051603.788951, 688092.849625 7051404.523211, 687893.296177 7051385.366797))"
142,165.0,False,False,"POLYGON ((687874.301886 7051584.632323, 687855.307138 7051783.898238, 688054.86152 7051803.055081, 688073.855801 7051603.788951, 687874.301886 7051584.632323))"
143,162.5,True,True,"POLYGON ((687674.747944 7051565.475151, 687655.752729 7051764.740851, 687855.307138 7051783.898238, 687874.301886 7051584.632323, 687674.747944 7051565.475151))"
144,41.0,False,False,"POLYGON ((687693.742701 7051366.20984, 687674.747944 7051565.475151, 687874.301886 7051584.632323, 687893.296177 7051385.366797, 687693.742701 7051366.20984))"
145,2.0,False,False,"POLYGON ((687712.737001 7051166.944919, 687693.742701 7051366.20984, 687893.296177 7051385.366797, 687912.29001 7051186.101661, 687712.737001 7051166.944919))"
146,4.0,False,False,"POLYGON ((687912.29001 7051186.101661, 687893.296177 7051385.366797, 688092.849625 7051404.523211, 688111.842992 7051205.25786, 687912.29001 7051186.101661))"
147,39.5,True,False,"POLYGON ((688111.842992 7051205.25786, 688092.849625 7051404.523211, 688292.403046 7051423.67908, 688311.395946 7051224.413515, 688111.842992 7051205.25786))"
148,52.0,True,False,"POLYGON ((688311.395946 7051224.413515, 688292.403046 7051423.67908, 688491.956438 7051442.834406, 688510.948872 7051243.568626, 688311.395946 7051224.413515))"
149,53.0,False,False,"POLYGON ((688491.956438 7051442.834406, 688472.963548 7051642.100575, 688672.51738 7051661.255571, 688691.509803 7051461.989187, 688491.956438 7051442.834406))"
150,16.0,False,False,"POLYGON ((688472.963548 7051642.100575, 688453.9702 7051841.367134, 688653.524499 7051860.522345, 688672.51738 7051661.255571, 688472.963548 7051642.100575))"
151,3.5,False,False,"POLYGON ((688510.948872 7051243.568626, 688491.956438 7051442.834406, 688691.509803 7051461.989187, 688710.501771 7051262.723193, 688510.948872 7051243.568626))"
152,11.0,False,False,"POLYGON ((688330.388389 7051025.148339, 688311.395946 7051224.413515, 688510.948872 7051243.568626, 688529.940849 7051044.303235, 688330.388389 7051025.148339))"
153,24.5,False,False,"POLYGON ((688349.380375 7050825.883552, 688330.388389 7051025.148339, 688529.940849 7051044.303235, 688548.932369 7050845.038234, 688349.380375 7050825.883552))"
154,4.0,False,False,"POLYGON ((688368.371905 7050626.619154, 688349.380375 7050825.883552, 688548.932369 7050845.038234, 688567.923433 7050645.773621, 688368.371905 7050626.619154))"
